,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
0,HRES5,Adopting rules for the One Hundred Thirteenth Congress.,Adopting rules for the One Hundred Thirteenth Congress.,R,2013-01-03,,,0,0,0,0,Congress,(Sec. 2) Adopts the Rules of the House of Representatives for the 112th Congress as the Rules for the 113th Congress with amendments. Reduces the frequency of committee activity reports from four times (semiannually) per Congress to two times (annually) per Congress. Reduces from five to at least two minutes the minimum time for electronic voting after a quorum call in the Committee in the Whole House on the state of the Union. Authorizes the Chair to reduce to at least two minutes the minim...,13,4
1,HR41,To temporarily increase the borrowing authority of the Federal Emergency Management Agency for carrying out the National Flood Insurance Program.,To temporarily increase the borrowing authority of the Federal Emergency Management Agency for carrying out the National Flood Insurance Program.,R,2013-01-03,2013-01-04,,44,11,33,0,Emergency Management,(This measure has not been amended since it was introduced. The summary of that version is repeated here.) Amends the National Flood Insurance Act of 1968 to increase from $20.725 billion to $30.425 billion the total amount of notes and obligations (federal borrowing authority) which may be issued by the Administrator of the Federal Emergency Management Agency (FEMA) with the President's approval for the National Flood Insurance program.  Designates such increase as an emergency requirement...,12,1
2,HR219,To improve and streamline disaster assistance for Hurricane Sandy and for other purposes.,Sandy Recovery Improvement Act of 2013,R,2013-01-14,,,11,4,7,0,Emergency Management,(This measure has not been amended since it was introduced. The summary has been expanded because action occurred on the measure.)  Sandy Recovery Improvement Act of 2013 - (Sec. 2) Amends the Robert T. Stafford Disaster Relief and Emergency Assistance Act to authorize the President acting through the Administrator of the Federal Emergency Management Agency (FEMA) to approve public assistance projects for major disasters or emergencies under alternative procedures with the goal of: (1) redu...,13,1
3,HRES23,Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30 2013 and for other purposes.,Providing for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30 2013 and for other purposes.,R,2013-01-14,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 152) making supplemental appropriations for the fiscal year ending September 30 2013.,8,2
4,HR152,Making supplemental appropriations for the fiscal year ending September 30 2013 and for other purposes.,Making supplemental appropriations for the fiscalyear ending September 30 2013 to improve andstreamline disaster assistance for HurricaneSandy and for other purposes.,R,2013-01-04,2013-01-29,,0,0,0,0,Emergency Management,(This measure has not been amended since it was passed by the House on January 15 2013. The summary of that version is repeated here.) Division A: Disaster Relief Appropriations Act 2013 - Disaster Relief Appropriations Act 2013 - Makes supplemental appropriations for FY2013 to specified federal agencies and programs for expenses related to the consequences of Hurricane Sandy. Title I: Department of Agriculture - Makes supplemental appropriations to the Department of Agriculture (USDA) for...,46,12
5,HR307,To reauthorize certain programs under the Public Health Service Act and the Federal Food Drug and Cosmetic Act with respect to public health security and all-hazards preparedness and response and for other purposes.,Pandemic and All-Hazards Preparedness Reauthorization Act of 2013,R,2013-01-18,2013-03-05,,5,1,4,0,Health,(This measure has not been amended since it was reported to the Senate on February 14 2013. The summary of that version is repeated here.)  Pandemic and All-Hazards Preparedness Act Reauthorization of 2013 - Title I: Strengthening National Preparedness and Response for Public Health Emergencies - (Sec. 101) Amends the Public Health Service Act (PHSA) to require the Secretary of Health and Human Services (HHS) to submit the National Health Security Strategy to the relevant congressional commi...,27,2
6,HRES39,Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19 2013 and for other purposes.,Providing for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19 2013 and for other purposes.,R,2013-01-22,,,0,0,0,0,Congress,Sets forth the rule for consideration of the bill (H.R. 325) to ensure the complete and timely payment of the obligations of the United States Government until May 19 2013.,8,2
7,HR325,To ensure the complete and timely payment of the obligations of the United States Government until May 19 2013 and for other purposes.,No Budget No Pay Act of 2013,R,2013-01-21,2013-02-04,,1,1,0,0,Economics and Public Finance,(This measure has not been amended since it was passed by the House on January 23 2013. The summary of that version is repeated here.) No Budget No Pay Act of 2013 - Suspends through May 18 2013 the current $16.394 trillion public debt limit. Makes a special rule relating to obligations issued during the suspension period. Revises the discretionary increase in the public debt limit by the Secretary of the Treasury under current law subject to a congressional resolution of disapproval u...,23,8
8,HR225,To amend title IV of the Public Health Service Act to provide for a National Pediatric Research Network including with respect to pediatric rare diseases or conditions.,National Pediatric Research Network Act of 2013,D,2013-01-14,,,10,3,7,0,Health,(This measure has not been amended since it was introduced. The summary of that version is repeated here.) National Pediatric Research Network Act of 2013 - Amends the Public Health Service Act to authorize the Director of the National Institutes of Health (NIH) in carrying out the Pediatric Research Initiative to act through the Director of the Eunice Kennedy Shriver National Institute of Child Health and Human Development to provide for the establishment of a National Pediatric Research N...,12,1
9,HR297,To amend the Public Health Service Act to reauthorize support for graduate medical education programs in children's hospitals.,Children's Hospital GME Support Reauthorization Act of 2013,R,2013-01-15,,,31,18,13,0,Health,(This measure has not been amended since it was introduced. The summary of that version is repeated here.) Children's Hospital GME Support Reauthorization Act of 2013 - Amends the Public Health Service Act to extend and reauthorize appropriations for payments to children's hospitals for expenses associated with operating approved graduate medical residency training programs.,12,1
