,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
0,HRES5,Adopting the Rules of the House for the One Hundred Third Congress.,,D,1993-01-05,,,0,0,0,0,House of Representatives,Adopts the Rules of the House of Representatives of the 102d Congress as the Rules of the House of Representatives for the 103d Congress with the following amendments. Deletes the teller vote in the House. Establishes the Offices of General Counsel and Inspector General of the House. Authorizes the Speaker to declare recesses when no question is pending before the House. Creates the position of Director of Non-Legislative and Financial Services. Prioritizes consideration of resolutions repor...,15,1
1,HRES20,To establish the Select Committee on Narcotics Abuse and Control.,,D,1993-01-05,,,59,13,46,0,House of Representatives,Establishes in the House of Representatives the Select Committee on Narcotics Abuse and Control to conduct a continuing oversight and review of the problems of narcotics drug and polydrug abuse and control.,10,1
2,HRES58,Providing for the consideration of the bill (H.R. 1) to grant family and temporary medical leave under certain circumstances.,,D,1993-02-02,,,0,0,0,0,House of Representatives,Sets forth the rule for the consideration of H.R. 1 (family and temporary medical leave).,8,1
3,HRES59,Providing for the consideration of the bill (H.R. 2) to establish national voter registration procedures for Federal elections and for other purposes.,,D,1993-02-03,,,0,0,0,0,House of Representatives,Sets forth the rule for the consideration of H.R. 2 (national voter registration procedures).,8,1
4,HR2,To establish national voter registration procedures for Federal elections and for other purposes.,National Voter Registration Act of 1993,D,1993-01-05,,,73,1,72,0,Government operations and politics,National Voter Registration Act of 1993 - Requires each State to establish Federal election voter registration procedures by: (1) application made simultaneously with a driver's license application; (2) mail; and (3) application in person at a designated Federal State or nongovernmental office or at the applicant's residential registration site in accordance with State law. Declares that this Act does not apply to any State that has no voter registration requirement with respect to electio...,70,4
5,HRES61,Waiving a requirement of clause 4(b) of rule XI with respect to consideration of a certain resolution reported from the Committee on Rules.,,D,1993-02-03,,,0,0,0,0,House of Representatives,Waives with respect to a resolution relating to family and temporary medical leave for certain employees the requirement for a two-thirds vote to consider a report from the Committee on Rules on the same day it is presented to the House.,9,1
6,HRES71,Relating to the consideration of the Senate amendment to the bill (H.R. 1) to grant family and temporary medical leave under certain circumstances.,,D,1993-02-04,,,0,0,0,0,House of Representatives,Provides that upon the adoption of this resolution the Senate amendments to H.R. 1 (family and temporary medical leave) are agreed to by the House of Representatives.,9,1
7,HCONRES34,Calling for a continued United States policy of opposition to the resumption of commercial whaling and otherwise expressing the sense of the Congress with respect to conserving and protecting the world's whale dolphin and porpoise populations.,,D,1993-02-03,,,1,1,0,0,International affairs,Declares that it is the sense of the Congress that the United States should: (1) promote whale dolphin and porpoise conservation and protection; (2) oppose resumption of commercial whaling and work toward a moratorium on direct commercial harvest of dolphins and porpoises; (3) work to strengthen the International Whaling Commission; (4) support the establishment of international sanctuaries where whaling is prohibited; and (5) in whale conservation and protection use diplomatic channels d...,21,1
8,HR750,To extend the Export Administration Act of 1979 and to authorize appropriations under that Act for fiscal years 1993 and 1994.,,D,1993-02-03,,,1,1,0,0,Foreign trade and international finance,Amends the Export Administration Act of 1979 to authorize appropriations for the Department of Commerce under the Act for FY 1993 and 1994. Extends such Act through June 30 1994.,19,1
9,HCONRES39,Providing for a joint session of Congress to receive a message from the President.,,D,1993-02-17,,,0,0,0,0,Congress,Provides for a joint session of the Congress on February 17 1993 for a message from the President.,5,1
10,HRES103,Providing for the consideration of the bill (H.R. 920) to extend the emergency unemployment compensation program and for other purposes.,,D,1993-02-23,,,0,0,0,0,House of Representatives,Sets forth the rule for the consideration of H.R. 920 (emergency unemployment compensation extension).,11,1
11,HR920,To extend the emergency unemployment compensation program and for other purposes.,Emergency Unemployment Compensation Amendments of 1993,D,1993-02-17,,,2,0,2,0,Unemployment insurance,Emergency Unemployment Compensation Amendments of 1993 - Amends the Emergency Unemployment Compensation Act of 1991 (Public Law 102-164 as amended) to extend the authorization for new claims for benefits under the emergency unemployment compensation (EUC) program to October 2 1993 (currently March 6 1993). Modifies the final phase-out period for continuation of claims to end it on January 15 1994 (currently June 19 1993). Provides for a similar extension of the program of temporary exten...,36,2
12,HR20,To amend title 5 United States Code to restore to Federal civilian employees their right to participate voluntarily as private citizens in the political processes of the Nation to protect such employees from improper political solicitations and for other purposes.,Hatch Act Reform Amendments of 1993,D,1993-01-05,,,260,29,230,0,Federal employees,Hatch Act Reform Amendments of 1993 - (Sec. 2) Amends Federal civil service law to declare that a Federal or District of Columbia government employee may take an active part in political management or in political campaigns except that he or she may not: (1) use official authority or influence for the purpose of interfering with or affecting the result of an election; (2) knowingly solicit accept or receive a political contribution from any person unless such person is a member of the sam...,42,4
13,HR890,To amend the Federal Deposit Insurance Act to provide for extended periods of time for claims on insured deposits.,Unclaimed Deposits Amendments Act of 1993,D,1993-02-16,,,10,2,8,0,Finance and financial sector,Amends the Federal Deposit Insurance Act to require the Federal Deposit Insurance Corporation (FDIC) to send: (1) a first notice to all insured depositors within 30 days after beginning to pay off depositors that they must claim their deposits from the FDIC (or from any transferee institution if the deposit has been transferred); and (2) a second notice after 15 months after beginning to pay off depositors to all those who have not responded to the first notice. Requires the FDIC to transfer...,27,1
14,HR904,To amend the Airport and Airway Safety Capacity Noise Improvement and Intermodal Transportation Act of 1992 with respect to the establishment of the National Commission to Ensure a Strong Competitive Airline Industry.,,D,1993-02-16,,,5,2,3,0,Transportation and public works,Amends the Airport and Airway Safety Capacity Noise Improvement and Intermodal Transportation Act of 1992 with respect to the establishment of the National Commission to Ensure a Strong Competitive Airline Industry.,28,1
15,HR868,To strengthen the authority of the Federal Trade Commission to protect consumers in connection with sales made with a telephone and for other purposes.,Telemarketing and Consumer Fraud and Abuse Prevention Act,D,1993-02-04,,,3,2,1,0,Government operations and politics,Telemarketing and Consumer Fraud and Abuse Prevention Act - Directs the Federal Trade Commission to prescribe rules prohibiting deceptive telemarketing acts or practices and other abusive telemarketing acts or practices. Requires such rules to include: (1) a requirement that telemarketers not make unsolicited calls in a pattern which a reasonable customer would consider coercive or abusive of the customer's right to privacy; (2) restrictions on the times of day and night when unsolicited call...,30,1
16,HR707,To establish procedures to improve the allocation and assignment of the electromagnetic spectrum and for other purposes.,Emerging Telecommunications Technologies Act of 1993,D,1993-02-02,,,1,0,1,0,Government operations and politics,Emerging Telecommunications Technologies Act of 1993 - Amends the National Telecommunications and Information Administration Organization Act to require the Assistant Secretary of Commerce for Communications and Information and the Chairman of the Federal Communications Commission (FCC) to conduct at least biannually and to report to specified congressional committees the FCC and the Secretary of Commerce annually on joint electromagnetic spectrum planning with respect to: (1) future spe...,17,1
17,HR617,To amend the Securities Exchange Act of 1934 to protect investors in limited partnerships in rollup transactions and for other purposes.,Limited Partnership Rollup Reform Act of 1993,D,1993-01-26,,,8,1,7,0,Securities,Limited Partnership Rollup Reform Act of 1993 - Amends the Securities Exchange Act of 1934 to revise proxy solicitation rules with respect to limited partnership rollup transactions (in which general partners combine several limited partnerships into one unit that trades on a stock exchange or a single limited partnership is reorganized so that some or all of the investors receive new securities or securities in another entity). Requires the Securities and Exchange Commission (SEC) to prescr...,18,1
18,HRES106,Providing for the consideration of the bill (H.R. 20) to amend title 5 United States Code to restore to Federal civilian employees their right to participate voluntarily as private citizens in the political processes of the Nation to protect such employees from improper political solicitations and for other purposes.,,D,1993-03-02,,,0,0,0,0,House of Representatives,Sets forth the rule for the consideration of H.R. 20 (political activities of Federal employees).,8,1
19,HR490,To provide for the conveyance of certain lands and improvements in Washington District of Columbia to the Columbia Hospital for Women to provide a site for the construction of a facility to house the National Women's Health Resource Center.,,D,1993-01-20,,,59,9,49,0,Public lands and natural resources,Directs the Administrator of General Services under specified conditions to convey specified lands in the District of Columbia to the Columbia Hospital for Women to construct a facility to house the National Women's Health Resource Center. Prohibits such lands from being used for any other purpose other than providing a site for the Center and related appurtenances. Directs the Hospital to establish three satellite health centers of which: (1) one shall provide health and counseling service...,26,1
20,HRES119,Providing for the consideration of the bill (H.R. 4) to amend the Public Health Service Act to revise and extend the programs of the National Institutes of Health and for other purposes.,,D,1993-03-09,,,0,0,0,0,House of Representatives,Sets forth the rule for the consideration of H.R. 4 (National Institutes of Health programs).,8,1
21,HR4,To amend the Public Health Service Act to revise and extend the programs of the National Institutes of Health and for other purposes.,National Institutes of Health Revitalization Act of 1993,D,1993-01-05,,,40,6,33,0,Health,TABLE OF CONTENTS: Title I: General Provisions Regarding Title IV of Public Health Service Act Title II: National Institutes of Health in General Title III: General Provisions Respecting National Research Institutes Title IV: National Cancer Institute Title V: National Heart Lung and Blood Institute Title VI: National Institute on Diabetes and Digestive and Kidney Diseases Title VII: National Institute on Arthritis and Musculoskeletal and Skin Diseases Title VIII: National Institute on Agin...,26,1
22,HR965,To provide for toy safety and for other purposes.,Child Safety Protection Act,D,1993-02-18,,,0,0,0,0,Consumer protection,TABLE OF CONTENTS: Title I: Toy Labeling Requirements Title II: Children's Bicycle Helmet Safety Child Safety Protection Act - Title I: Toy Labeling Requirements - Requires warning labels on the packaging of children's toys and games with small parts balloons small balls or marbles. Establishes general labeling requirements including that any required cautionary statement be displayed in English in conspicuous and legible type (consistent with specified Federal regulations) and in its e...,48,1
23,HR1109,To amend the Merchant Marine Act 1936 to establish reemployment rights for certain merchant seamen.,Merchant Seamen Reemployment Rights Act of 1993,D,1993-02-24,,,20,7,13,0,Marine transportation,Merchant Seamen Reemployment Rights Act of 1993 - Amends the Merchant Marine Act 1936 to entitle a merchant mariner who serves during a war armed conflict national emergency or mobilization need to the same reemployment rights as are guaranteed to a member of a Reserve component of the armed forces who is ordered to active duty.,15,1
24,HRES133,Providing for the further consideration of the concurrent resolution (H. Con. Res. 64) setting forth the congressional budget for the United States Government for the fiscal years 1994 1995 1996 1997 and 1998.,,D,1993-03-17,,,0,0,0,0,House of Representatives,Sets forth the rule for the further consideration of H. Con. Res. 64 (congressional budget).,11,1
25,HCONRES64,Setting forth the congressional budget for the United States Government for fiscal years 1994 1995 1996 1997 and 1998.,,D,1993-03-15,,,0,0,0,0,Federal budgets,Establishes the budget for FY 1994 and sets forth appropriate budgetary levels for FY 1995 through 1998. Sets forth recommended budgetary levels of Federal revenues new budget authority budget outlays deficits public debt and credit activity. Sets forth the increase in the public debt subject to limitation. Displays Federal retirement trust fund balances. Sets forth Social Security trust fund revenues and outlays for Senate enforcement purposes. Sets forth funding levels for each major f...,60,4
26,HRES132,Providing for the further consideration of the bill (H.R. 1335) making emergency supplemental appropriations for the fiscal year ending September 30 1993 and for other purposes.,,D,1993-03-17,,,0,0,0,0,House of Representatives,Sets forth the rule for the further consideration of H.R. 1335 (emergency supplemental appropriations).,8,1
27,HR1335,Making emergency supplemental appropriations for the fiscal year ending September 30 1993 and for other purposes.,Emergency Supplemental Appropriations Act of 1993,D,1993-03-15,,,0,0,0,0,Appropriations,Emergency Supplemental Appropriations Act of 1993 - Makes emergency supplemental appropriations to the Department of Labor for advances to the Unemployment Trust Fund and other funds to remain available until September 30 1994.,103,2
28,HRES138,Providing for the consideration of the bill (H.R. 670) to require the Secretary of Health and Human Services to ensure that pregnant women receiving assistance under title X of the Public Health Service Act are provided with information and counseling regarding their pregnancies and for other purposes.,,D,1993-03-23,,,0,0,0,0,House of Representatives,Sets forth the rule for the consideration of H.R. 670 (public health services for pregnant women).,10,1
29,HR670,To require the Secretary of Health and Human Services to ensure that pregnant women receiving assistance under title X of the Public Health Service Act are provided with information and counseling regarding their pregnancies and for other purposes.,Family Planning Amendments Act of 1993,D,1993-01-27,,,0,0,0,0,Birth control,Family Planning Amendments Act of 1993 - Amends the Public Health Service Act to require family planning grant and contract recipients to provide nondirective counseling and referrals regarding: (1) prenatal care and delivery; (2) infant care foster care and adoption; and (3) termination of pregnancy. Allows a provider who objects on religious or moral grounds to providing such counseling and referrals to refer the woman to another provider. Requires recipients to: (1) comply with State p...,42,1
30,HR175,To amend title 18 United States Code to authorize the Federal Bureau of Investigation to obtain certain telephone subscriber information.,,D,1993-01-05,,,1,1,0,0,Crime and law enforcement,Authorizes the Director of the Federal Bureau of Investigation or his designee in a position not lower than Deputy Assistant Director to request: (1) the name address length of service and toll billing records of a person or entity (person) if the Director certifies in writing to the wire or electronic communication service provider that such information is relevant to an authorized foreign counterintelligence investigation and that there are specific articulable facts giving reason to be...,24,1
31,HR829,To amend title I of the Omnibus Crime Control and Safe Streets Act of 1968 to authorize funds received by States and units of local government to be expended to improve the quality and availability of DNA records; to authorize the establishment of a DNA identification index; and for other purposes.,DNA Identification Act of 1993,D,1993-02-04,,,2,1,1,0,Crime and law enforcement,DNA Identification Act of 1993 - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to authorize the use of drug control and system improvement grants to develop or improve in a forensic laboratory a capability to analyze deoxyribonucleic acid (DNA) for identification purposes. Sets forth certification requirements with respect to laboratories to conduct DNA analysis using grant funds. Requires the Director of the Federal Bureau of Investigation (FBI) to: (1) appoint an advisory bo...,16,1
